"year_id","region_name","current_rate","prev_year_rate","yoy_change","improvement_rank"
2016,"Molise","12.80","14.40","-1.60","1"
2016,"Piemonte","9.40","10.30","-0.90","2"
2016,"Umbria","9.60","10.50","-0.90","2"
2016,"Emilia-Romagna","7.00","7.80","-0.80","4"
2016,"Lazio","11.20","11.80","-0.60","5"
2016,"Lombardia","7.40","7.90","-0.50","6"
2016,"Abruzzo","12.10","12.60","-0.50","6"
2016,"Basilicata","13.30","13.70","-0.40","8"
2016,"Friuli-Venezia Giulia","7.60","8.00","-0.40","8"
2016,"Puglia","19.40","19.70","-0.30","10"
2016,"Veneto","6.80","7.10","-0.30","10"
2016,"Valle Aosta","8.70","8.90","-0.20","12"
2016,"Provincia Autonoma di Bolzano","3.70","3.80","-0.10","13"
2016,"Sardegna","17.30","17.40","-0.10","13"
2016,"Provincia Autonoma di Trento","6.90","6.80","0.10","15"
2016,"Calabria","23.20","23.00","0.20","16"
2016,"Toscana","9.50","9.20","0.30","17"
2016,"Campania","20.40","19.80","0.60","18"
2016,"Liguria","9.80","9.20","0.60","18"
2016,"Marche","10.60","10.00","0.60","18"
2016,"Sicilia","22.10","21.40","0.70","21"
2017,"Calabria","21.60","23.20","-1.60","1"
2017,"Provincia Autonoma di Trento","5.70","6.90","-1.20","2"
2017,"Lombardia","6.40","7.40","-1.00","3"
2017,"Valle Aosta","7.80","8.70","-0.90","4"
2017,"Friuli-Venezia Giulia","6.70","7.60","-0.90","4"
2017,"Toscana","8.60","9.50","-0.90","4"
2017,"Provincia Autonoma di Bolzano","3.10","3.70","-0.60","7"
2017,"Sicilia","21.50","22.10","-0.60","7"
2017,"Puglia","18.90","19.40","-0.50","9"
2017,"Veneto","6.30","6.80","-0.50","9"
2017,"Basilicata","12.80","13.30","-0.50","9"
2017,"Lazio","10.70","11.20","-0.50","9"
2017,"Emilia-Romagna","6.60","7.00","-0.40","13"
2017,"Abruzzo","11.70","12.10","-0.40","13"
2017,"Liguria","9.50","9.80","-0.30","15"
2017,"Piemonte","9.10","9.40","-0.30","15"
2017,"Sardegna","17.00","17.30","-0.30","15"
2017,"Marche","10.60","10.60","0.00","18"
2017,"Campania","20.90","20.40","0.50","19"
2017,"Umbria","10.60","9.60","1.00","20"
2017,"Molise","14.60","12.80","1.80","21"
2018,"Puglia","16.10","18.90","-2.80","1"
2018,"Marche","8.10","10.60","-2.50","2"
2018,"Molise","12.70","14.60","-1.90","3"
2018,"Sardegna","15.40","17.00","-1.60","4"
2018,"Umbria","9.20","10.60","-1.40","5"
2018,"Toscana","7.30","8.60","-1.30","6"
2018,"Abruzzo","10.80","11.70","-0.90","7"
2018,"Piemonte","8.20","9.10","-0.90","7"
2018,"Provincia Autonoma di Trento","4.80","5.70","-0.90","7"
2018,"Emilia-Romagna","5.80","6.60","-0.80","10"
2018,"Valle Aosta","7.10","7.80","-0.70","11"
2018,"Campania","20.30","20.90","-0.60","12"
2018,"Lombardia","6.00","6.40","-0.40","13"
2018,"Basilicata","12.50","12.80","-0.30","14"
2018,"Provincia Autonoma di Bolzano","2.90","3.10","-0.20","15"
2018,"Sicilia","21.30","21.50","-0.20","15"
2018,"Calabria","21.60","21.60","0.00","17"
2018,"Friuli-Venezia Giulia","6.70","6.70","0.00","17"
2018,"Veneto","6.40","6.30","0.10","19"
2018,"Liguria","9.80","9.50","0.30","20"
2018,"Lazio","11.10","10.70","0.40","21"
2019,"Basilicata","10.80","12.50","-1.70","1"
2019,"Sicilia","19.90","21.30","-1.40","2"
2019,"Puglia","14.80","16.10","-1.30","3"
